file_name,instruction,rewritten_query,处理好的url
pc_8g2jf6.png,adjust font color,这是LibreOffice Writer软件中用于调整字体颜色的下拉菜单按钮，它位于工具栏中的字母A旁边，下方有一个红色的下划线。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\1_pc_8g2jf6.png
pc_b5q1tt.png,view battery usage of last 10 days,红框标出的元素是“Last 10 Days”，它是一个按钮，位于“Last 24 Hours”按钮的右侧。点击此按钮可以查看过去10天的电池使用情况。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\2_pc_b5q1tt.png
pc_drcjo3.png,download microsoft word from cloud,微软Word应用右侧的云下载按钮，下方文字说明为“创建、编辑和共享文档”。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\3_pc_drcjo3.png
pc_dzpr8m.png,empty the trash,网页右上角垃圾桶窗口中的“Empty”按钮，点击该按钮将清空垃圾桶内的所有文件。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\5_pc_dzpr8m.png
pc_gtda7d.png,open google drive,在Google网页右侧弹出的应用程序列表中，有一个图标为三角形且有绿色、黄色和蓝色背景色的Google Drive应用程序。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\7_pc_gtda7d.png
pc_krzgko.png,add current webpage to favourites,在页面的右上角，有一个带五角星图标的按钮，鼠标悬停时显示文本“add current webpage to favourites”，点击该按钮可以将当前网页添加到收藏夹。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\10_pc_krzgko.png
pc_nuyjna.png,Add a wired connection device,在网络设置界面中，右上角“Wired”文本的右侧的加号图标，点击可以添加有线连接设备。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\11_pc_nuyjna.png
pc_qao1zc.png,open nac client ,带蓝色盾牌和字母A的NAC Client应用程序图标。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\17_pc_qao1zc.png
pc_u77zz1.png,open the map app,在屏幕底部的Dock栏中，位于邮件图标右侧的地图应用图标。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\21_pc_u77zz1.png
pc_uuhwlx.png,open the calculator,计算器图标显示在Utilities标题下方，其图标左边是Backups图标，右边是Characters图标。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\23_pc_uuhwlx.png
pc_zuyj00.png,"adjust the options of  ""show previous""",红框标出的元素是“Show previews”选项的下拉菜单，当前选择的是“When Unlocked”。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\26_pc_zuyj00.png
mobile_02e9bl.png,view the photo pictured in Apr 11,位于页面中部，“Apr 11”文本下方显示的图像,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\28_mobile_02e9bl.png
mobile_0ze76a.png,share this stock,这是一个分享按钮，位于屏幕右上角，在股票价格右侧。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\29_mobile_0ze76a.png
mobile_6edzq7.jpg,switch on automatic downloads using cellular data,"红框框选的元素是""Wireless Data""，其下方小字描述为""WLAN & Cellular""，右方文本为""138 MB""，最右方是一个箭头。它显示了App Store应用使用的无线数据流量，并允许用户管理App Store通过WLAN和蜂窝网络访问数据。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\37_mobile_6edzq7.jpg
mobile_8u6mj9.png,Adjust the camera focus,该元素位于屏幕的左下角，是一个垂直的滑块，顶部有加号，底部有减号。它用于调整相机的焦距，可以通过上下滑动圆圈来改变焦距。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\40_mobile_8u6mj9.png
mobile_ei9pzn.png,switch on airplane mode,"在设置页面中，有一个名为""Airplane Mode""（飞行模式）的选项，其右侧有一个开关按钮，当前显示为关闭状态。红色方框标出了这个开关按钮。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\50_mobile_ei9pzn.png
mobile_fgypk7.png,disallow notability to access my microphone,在“允许Notability访问”区域，麦克风选项右侧的开关，用来禁用Notability访问麦克风的权限。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\53_mobile_fgypk7.png
mobile_hydu17.jpg,exclude the control of calculator,计算器控制旁边的红色圆形减号按钮,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\57_mobile_hydu17.jpg
mobile_inxnbt.jpg,view open source software,在设置页面中，位于最下方，文本内容为“Open source software”，右侧有一个打开新页面的图标。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\58_mobile_inxnbt.jpg
mobile_zn2mmo.png,add a new alarm,屏幕右上角，一个加号图标，用于添加新的闹钟。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\78_mobile_zn2mmo.png
web_213f816e-8e80-4d13-970d-1347bbc7a2a8.png,click the button to create a new project,右上角带有紫色花纹的圆形图标，旁边有一个向下箭头。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\80_web_213f816e-8e80-4d13-970d-1347bbc7a2a8.png
web_213f816e-8e80-4d13-970d-1347bbc7a2a8.png,view my account profile,右上角带有紫色花纹的圆形图标，旁边有一个向下箭头。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\81_web_213f816e-8e80-4d13-970d-1347bbc7a2a8.png
web_e40f1b3f-0f26-4313-a6a2-d79e1047951b.png,search in gitlab,页面顶部，搜索框右侧的“+”号按钮，点击可以展开菜单进行新建操作。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\82_web_e40f1b3f-0f26-4313-a6a2-d79e1047951b.png
web_e40f1b3f-0f26-4313-a6a2-d79e1047951b.png,add a new one,页面顶部，搜索框右侧的“+”号按钮，点击可以展开菜单进行新建操作。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\83_web_e40f1b3f-0f26-4313-a6a2-d79e1047951b.png
web_fd8d71f6-4229-4458-a77e-7d8a6347c8e9.png,go to personal homepage,红框框出的元素是“Sign out”链接，点击它可以退出当前账号登录。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\84_web_fd8d71f6-4229-4458-a77e-7d8a6347c8e9.png
web_4e1d5837-4731-43f3-8101-52375498c4ad.png,switch to explore projects,这是在项目列表第三项“The A11Y Project / a11yproject.com”右侧的“fork”按钮，上面显示着数字1。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\86_web_4e1d5837-4731-43f3-8101-52375498c4ad.png
web_4e1d5837-4731-43f3-8101-52375498c4ad.png,star the project with 56 stars,这是在项目列表第三项“The A11Y Project / a11yproject.com”右侧的“fork”按钮，上面显示着数字1。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\87_web_4e1d5837-4731-43f3-8101-52375498c4ad.png
web_bcce7aec-b36a-42c5-8beb-ead23f5ada2c.png,view issues i've created,左上角红色的狐狸图标，这是GitLab的标志，点击后通常会回到主页。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\89_web_bcce7aec-b36a-42c5-8beb-ead23f5ada2c.png
